actual_squared_residual,atomic_pattern,case_grid_seconds,certificate,certificate_ratio_to_reference,coverage_slack,covered,degree,error,family,name,raw_certificate_excess,reference_atomic_pattern,reference_certificate,seconds,solver,status,success
1.1541917535272788e-06,False,2.317010125028901,1.3598007523318856e-06,385.6375389856747,2.0806066207847458e-12,True,3,,two_point,two_point_k1000_2,-2.0560899880460678e-07,True,3.5261109587736428e-09,0.18653087504208088,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=2,True
1.0418449565896602e-06,False,2.317010125028901,2.331836363111961e-06,661.3054411432809,1.0366189945618835e-11,True,4,,two_point,two_point_k1000_2,-1.2899914065223007e-06,True,3.5261109587736428e-09,0.21611149999080226,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
5.411939761310389e-07,False,2.317010125028901,1.0087459685337308e-05,2860.789068545267,7.04522569362276e-11,True,6,,two_point,two_point_k1000_2,-9.546265709206268e-06,True,3.5261109587736428e-09,0.6661008750088513,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
7.977766977416555e-07,False,2.317010125028901,2.249468955994871e-06,637.9461628675522,7.598591520061517e-12,True,8,,two_point,two_point_k1000_2,-1.4516922582532155e-06,True,3.5261109587736428e-09,1.2477683330071159,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
,False,2.207916875020601,,,,False,2,LinAlgError: Singular matrix,two_point,two_point_k1000_3,,True,3.5397533793002367e-09,7.358298171311617e-05,,,False
2.290737054122246e-16,False,2.207916875020601,0.00037475220165106293,105869.57945786229,3.9588667524414656e-09,True,3,,two_point,two_point_k1000_3,-0.00037475220165083384,True,3.5397533793002367e-09,0.04039995797211304,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1,True
6.348682158921121e-17,False,2.207916875020601,0.00011294129444650025,31906.54329393628,9.791957587237162e-10,True,4,,two_point,two_point_k1000_3,-0.00011294129444643676,True,3.5397533793002367e-09,0.22114783397410065,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1,True
1.8664358034923626e-13,False,2.207916875020601,2.0366337025734538e-05,5753.603385149024,1.1387799982755362e-10,True,6,,two_point,two_point_k1000_3,-2.0366336839090957e-05,True,3.5397533793002367e-09,0.5563472079811618,SCS/CLARABEL,design=optimal; certificate=optimal; extraction=moment-nullspace; candidates=1,True
2.1385574137122327e-07,False,2.207916875020601,0.00011983763351963717,33854.7974049332,9.445855265387232e-10,True,8,,two_point,two_point_k1000_3,-0.00011962377777826594,True,3.5397533793002367e-09,1.389635541010648,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=2,True
0.00678805231379062,False,1.3522912919870578,0.006788052313829049,1.0,1.5521580280615466e-13,True,2,,three_point,three_point_k10_0,-3.842846180157622e-14,False,0.006788052313829049,8.941598935052752e-05,linear algebra,exact degree-two moment calculation,True
1.7158214291213567e-15,False,1.3522912919870578,9.427416669538502e-08,204712.19961427193,8.495808179616058e-13,True,3,,three_point,three_point_k10_0,-9.427416497956359e-08,True,4.605205106145149e-13,0.115647541009821,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1,True
1.0181754018352336e-18,False,1.3522912919870578,3.229708767094053e-08,70131.70298939248,1.8143927986521365e-13,True,4,,three_point,three_point_k10_0,-3.2297087669922354e-08,True,4.605205106145149e-13,0.0724805420031771,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1,True
1.952372249555506e-17,False,1.3522912919870578,3.2110274550412043e-08,69726.04652844745,1.1491345799427005e-13,True,6,,three_point,three_point_k10_0,-3.211027453088832e-08,True,4.605205106145149e-13,0.4579087920137681,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=moment-nullspace; candidates=1,True
