actual_squared_residual,certificate,certificate_passed,chebyshev_budget,converged,coverage_slack,covered,family,hessian_product_saving,name,raw_certificate_excess,reference_certificate_passed,reference_selected_degree,same_acceptance_decision_as_reference,selected_degree,tolerance
2.281354269209351e-09,6.261515261485329e-05,True,27,True,4.4452611607461166e-10,True,three_point,0.8518518518518519,three_point_k100_2,-6.261287126058408e-05,True,3,True,4,0.01
7.681211025865058e-09,1e-08,False,50,True,1.1368684060823837e-13,True,three_point,0.0,three_point_k100_2,-2.318788974134942e-09,True,3,False,50,0.0001
7.528263174619007e-13,1e-12,False,73,True,1.1368683772190118e-13,True,three_point,0.0,three_point_k100_2,-2.471736825380993e-13,False,73,True,73,1e-06
7.329142986740507e-10,5.9853786069652415e-05,True,27,True,4.0019233399783807e-10,True,three_point,0.8518518518518519,three_point_k100_3,-5.985305315535374e-05,True,3,True,4,0.01
6.6377263794024054e-09,1e-08,False,50,True,1.136868404896079e-13,True,three_point,0.0,three_point_k100_3,-3.3622736205975948e-09,True,3,False,50,0.0001
6.615558973223762e-13,1e-12,False,73,True,1.136868377218908e-13,True,three_point,0.0,three_point_k100_3,-3.384441026776238e-13,False,73,True,73,1e-06
1.2746263071350946e-06,1.274627987157828e-06,True,84,True,6.730967793480003e-12,True,three_point,0.9761904761904762,three_point_k1000_0,-1.680022733470472e-12,True,2,True,2,0.01
9.421863833590352e-09,1e-08,False,157,True,1.1368684100162533e-13,True,three_point,0.0,three_point_k1000_0,-5.781361664096485e-10,False,157,True,157,0.0001
9.178463187759458e-13,1e-12,False,230,True,1.1368683772193847e-13,True,three_point,0.0,three_point_k1000_0,-8.215368122405419e-14,False,230,True,230,1e-06
7.073510755098391e-05,0.0001,False,84,True,1.13717256383653e-13,True,three_point,0.0,three_point_k1000_1,-2.9264892449016092e-05,True,3,False,84,0.01
6.893120988966124e-09,1e-08,False,157,True,1.1368684071414056e-13,True,three_point,0.0,three_point_k1000_1,-3.106879011033876e-09,False,157,True,157,0.0001
7.999633787084051e-13,1e-12,False,230,True,1.1368683772192506e-13,True,three_point,0.0,three_point_k1000_1,-2.0003662129159492e-13,False,230,True,230,1e-06
1.8385966759984411e-06,1.8385983624469304e-06,True,84,True,6.73123159357748e-12,True,three_point,0.9761904761904762,three_point_k1000_2,-1.6864484893092184e-12,True,2,True,2,0.01
9.421493244768158e-09,1e-08,False,157,True,1.136868410015832e-13,True,three_point,0.0,three_point_k1000_2,-5.785067552318418e-10,False,157,True,157,0.0001
9.17829042958439e-13,1e-12,False,230,True,1.1368683772193847e-13,True,three_point,0.0,three_point_k1000_2,-8.217095704156094e-14,False,230,True,230,1e-06
6.908452799589045e-05,0.0001,False,84,True,1.1371706873448296e-13,True,three_point,0.0,three_point_k1000_3,-3.0915472004109556e-05,True,3,False,84,0.01
6.732695273908031e-09,1e-08,False,157,True,1.1368684069590227e-13,True,three_point,0.0,three_point_k1000_3,-3.267304726091969e-09,False,157,True,157,0.0001
7.924847792180623e-13,1e-12,False,230,True,1.136868377219242e-13,True,three_point,0.0,three_point_k1000_3,-2.0751522078193765e-13,False,230,True,230,1e-06
9.031764939004019e-06,1.0825002485369528e-05,True,9,True,1.137322281428944e-13,True,three_cluster,0.11111111111111116,three_cluster_k10_0,-1.7932375463655088e-06,True,8,True,8,0.01
2.2859112583177175e-09,1e-08,False,16,True,1.1368683947839632e-13,True,three_cluster,0.0,three_cluster_k10_0,-7.714088741682282e-09,False,16,True,16,0.0001
1.8917436592728737e-13,1e-12,False,23,True,1.1368683772178877e-13,True,three_cluster,0.0,three_cluster_k10_0,-8.108256340727126e-13,False,23,True,23,1e-06
2.2355293920033953e-05,3.2663746888069345e-05,True,9,True,1.140867418834709e-13,True,three_cluster,0.11111111111111116,three_cluster_k10_1,-1.0308452968035392e-05,True,8,True,8,0.01
2.425317517093157e-09,1e-08,False,16,True,1.1368683949424497e-13,True,three_cluster,0.0,three_cluster_k10_1,-7.574682482906843e-09,False,16,True,16,0.0001
1.8033882317349375e-13,1e-12,False,23,True,1.1368683772178776e-13,True,three_cluster,0.0,three_cluster_k10_1,-8.196611768265062e-13,False,23,True,23,1e-06
6.051568417979119e-06,7.398643696460594e-06,True,9,True,1.1373039063807819e-13,True,three_cluster,0.11111111111111116,three_cluster_k10_2,-1.3470752784814752e-06,True,8,True,8,0.01
2.4674253573825863e-09,1e-08,False,16,True,1.1368683949903208e-13,True,three_cluster,0.0,three_cluster_k10_2,-7.532574642617414e-09,False,16,True,16,0.0001
2.4060282748667927e-13,1e-12,False,23,True,1.1368683772179463e-13,True,three_cluster,0.0,three_cluster_k10_2,-7.593971725133208e-13,False,23,True,23,1e-06
1.5794728745883518e-05,2.370439893660222e-05,True,9,True,1.141696122813139e-13,True,three_cluster,0.11111111111111116,three_cluster_k10_3,-7.909670190718702e-06,True,8,True,8,0.01
2.346103752808642e-09,1e-08,False,16,True,1.1368683948523941e-13,True,three_cluster,0.0,three_cluster_k10_3,-7.653896247191359e-09,False,16,True,16,0.0001
1.644150635641971e-13,1e-12,False,23,True,1.1368683772178594e-13,True,three_cluster,0.0,three_cluster_k10_3,-8.355849364358028e-13,False,23,True,23,1e-06
5.891922949317328e-05,0.0001,False,27,True,1.137138510492187e-13,True,three_cluster,0.0,three_cluster_k100_0,-4.1080770506826724e-05,False,27,True,27,0.01
5.488492849395662e-09,1e-08,False,50,True,1.1368684035895517e-13,True,three_cluster,0.0,three_cluster_k100_0,-4.511507150604338e-09,False,50,True,50,0.0001
5.398775144250112e-13,1e-12,False,73,True,1.1368683772187697e-13,True,three_cluster,0.0,three_cluster_k100_0,-4.601224855749887e-13,False,73,True,73,1e-06
5.924586638857811e-05,0.0001,False,27,True,1.1371388818353444e-13,True,three_cluster,0.0,three_cluster_k100_1,-4.07541336114219e-05,False,27,True,27,0.01
5.3888815704229965e-09,1e-08,False,50,True,1.1368684034763069e-13,True,three_cluster,0.0,three_cluster_k100_1,-4.611118429577004e-09,False,50,True,50,0.0001
5.146546653282104e-13,1e-12,False,73,True,1.1368683772187412e-13,True,three_cluster,0.0,three_cluster_k100_1,-4.853453346717896e-13,False,73,True,73,1e-06
5.928987288604638e-05,0.0001,False,27,True,1.1371389318649396e-13,True,three_cluster,0.0,three_cluster_k100_2,-4.071012711395362e-05,False,27,True,27,0.01
5.7371277558909145e-09,1e-08,False,50,True,1.1368684038722168e-13,True,three_cluster,0.0,three_cluster_k100_2,-4.262872244109086e-09,False,50,True,50,0.0001
