system,plant,horizon,state_index,barrier_stage,newton_iteration,barrier_weight,weyl_lower,weyl_upper,exact_lower,exact_upper,weyl_condition_number,exact_condition_number,interval_chebyshev_degree,maximum_control_fraction,newton_decrement_half
847,damped_oscillator,20,5,2,0,0.01,0.0525237199149871,3.7972539421906504,0.05274011214898642,3.3270634724374544,72.29598262150398,63.08411827109464,16,0.891392282613253,0.02728219933631569
848,damped_oscillator,20,5,2,1,0.01,0.05252733494750836,14.861960467680692,0.05261963394964678,12.447438512585949,282.9376453713586,236.55501907324663,31,0.9710269032881618,0.0035414574988357735
849,damped_oscillator,20,5,2,2,0.01,0.052530854478659864,8.250179088839893,0.05263478767520164,6.156081686445017,157.05396705837796,116.9584215753452,24,0.9565663789783888,0.0005668604785597401
850,damped_oscillator,20,5,2,3,0.01,0.05253139655598546,6.454719662824064,0.0526415410318008,4.805395589240777,122.87355916656301,91.2852377619005,21,0.9465888862906602,1.975894507889668e-05
851,damped_oscillator,20,5,2,4,0.01,0.052531493051448094,6.135413482997874,0.05264277907743676,4.6310225077744445,116.79495720765058,87.97070726380683,20,0.9439763150303739,3.9125669417827396e-08
852,damped_oscillator,20,6,0,0,0.1,0.23252315757065364,3.1466874495213575,0.23252315757065373,3.146687449521357,13.532791668568393,13.532791668568388,7,0.0,7.291504321337191
853,damped_oscillator,20,6,0,1,0.1,0.23253027007195468,12.83895922589882,0.2330100427613287,10.4038347192388,55.21414146178003,44.64972666390782,14,0.8993157964185218,0.09804751598824588
854,damped_oscillator,20,6,0,2,0.1,0.23252332565716718,6.417812177039018,0.2330349450040848,4.746382465144265,27.600724180684786,20.367685477648287,10,0.8295323568880733,0.02511258983996789
855,damped_oscillator,20,6,0,3,0.1,0.2325248837232511,4.656895785565597,0.2330344824458472,3.9104680898068693,20.027515812493384,16.78064142595544,9,0.755863113194028,0.0025142808931391094
856,damped_oscillator,20,6,0,4,0.1,0.23252663055303538,4.220410651211372,0.23303452772668776,3.7990550739044364,18.150224949175307,16.302541563111713,8,0.7159919472202808,3.826626924117913e-05
857,damped_oscillator,20,6,0,5,0.1,0.23252686572368256,4.16377370703833,0.23303452438962502,3.7898874166904974,17.906634977767453,16.263201457454205,8,0.7092405611641791,2.2130359928594394e-08
858,damped_oscillator,20,6,1,0,0.03,0.09252427144071923,3.3113795007171025,0.09289609212126612,3.191369521322877,35.78930640744056,34.354184858033406,11,0.7090617841423902,0.08928512834641687
859,damped_oscillator,20,6,1,1,0.03,0.09252383511112797,4.663059018494849,0.09278508737553257,3.859621707594391,50.39846233021113,41.59743571694015,14,0.8674602826411191,0.0046384802680176345
860,damped_oscillator,20,6,1,2,0.03,0.09252631874833953,4.033981300715055,0.0927903439910569,3.571869518217367,43.598203789853564,38.4939786252072,13,0.8332071874033247,0.00015229096879088995
861,damped_oscillator,20,6,1,3,0.03,0.0925268652445104,3.924370116841507,0.09279130559607422,3.533715444731084,42.41330457344483,38.0823981517573,12,0.8240157980627958,2.975534366710486e-07
862,damped_oscillator,20,6,2,0,0.01,0.05252440235336206,3.271658694193465,0.052725500652196965,3.1336145383744567,62.28835641352229,59.43261798584525,15,0.8237635042637931,0.03708503294169213
863,damped_oscillator,20,6,2,1,0.01,0.05252360328397296,18.459073639126476,0.05268293217798413,15.971616289081222,351.443398491266,303.16490804123583,35,0.9746080180628087,0.0076318122828414135
864,damped_oscillator,20,6,2,2,0.01,0.05252517033056067,7.237637620475555,0.05268177687484349,5.095343530939921,137.7937010946633,96.71928004715879,22,0.9517101164992982,0.0037904377904096308
865,damped_oscillator,20,6,2,3,0.01,0.05252564037606882,4.2630730651445035,0.052682001800498916,3.671432285196312,81.1617532812946,69.69044758586874,17,0.9127511366665741,0.002036157162687709
866,damped_oscillator,20,6,2,4,0.01,0.05252520618703066,4.054118789586697,0.05268317217098308,3.551714655282689,77.18425274050092,67.41649200157518,17,0.9048557239030574,0.0006004326573295304
