method,converged,failure,converged_stages,newton_updates,linear_systems,matrix_products,degree_two_acceptances,line_search_backtracks,maximum_linear_relative_residual,final_scaled_gradient,quadratic_objective,terminal_barrier_objective,maximum_control_fraction,feasibility_violation,solution_json,plant,horizon,state_index
cost_gated_certificate,True,,3,37,40,5030,15,0,0.048923481551838996,7.993507384246067e-08,-81.87745913258479,-81.4706852489395,0.996079232626381,0.0,"[-0.996079232626381,-0.9953862467848382,-0.9944577138660752,-0.9931817503588479,-0.9913716340365937,-0.9886975657822774,-0.9845336258288707,-0.9775730368068163,-0.9647027348810897,-0.936898016829896,-0.8582642543408772,-0.5291994224316525,0.1360625257090179,0.4484687063836697,0.5314881971858517,0.5275602267120485,0.4777266649014117,0.3960181750119399,0.2893405912876404,0.15924405968685396]",double_integrator,20,4
interval_chebyshev,True,,3,35,38,46537,0,0,0.04852154679370829,1.2135539331732784e-05,-81.87746202763245,-81.47068524843901,0.9960793005515575,0.0,"[-0.9960793005515575,-0.9953875955213997,-0.9944578181826701,-0.9931816416723519,-0.9913714947412455,-0.9886977336699951,-0.9845339239839057,-0.9775728921493276,-0.9647041462486659,-0.9368973189326268,-0.858255493600086,-0.5291916809793047,0.13606920401577427,0.4484726278099885,0.5314903778579207,0.5275602825755512,0.47772561813649855,0.3960169011873707,0.289339488251294,0.15924334381122032]",double_integrator,20,4
cg,True,,3,38,41,317,0,2,0.04922394098564872,1.9983607309389415e-07,-81.8774588997731,-81.470685248457,0.9960792294186948,0.0,"[-0.9960792294186948,-0.9953862529278994,-0.9944577167909562,-0.9931817471925284,-0.9913716224592161,-0.9886975548687277,-0.9845335914986303,-0.9775729854832317,-0.9647027402150525,-0.9368976225859035,-0.858259206929112,-0.5291641372792004,0.13600024480741385,0.4484641956750916,0.5314490177983695,0.5275829839355547,0.47777139301119326,0.39606242312366463,0.28937995003819383,0.1592407010502125]",double_integrator,20,4
direct,True,,3,30,33,0,0,1,0.0,1.195452715843449e-06,-81.87746264308517,-81.47068524877523,0.9960792403078287,0.0,"[-0.9960792403078287,-0.9953862605251756,-0.9944577364084249,-0.9931817934300348,-0.991371713548777,-0.9886977583451172,-0.9845341210240197,-0.9775745753009321,-0.964707505352298,-0.9369048490658533,-0.8582602117966421,-0.5291926224529492,0.13607003777606852,0.44847203341657915,0.5314899129441677,0.5275610526696399,0.4777267631233403,0.3960178370404126,0.2893400941306508,0.15924369315335227]",double_integrator,20,4
certificate,True,,3,18,21,478,6,0,0.04920763427661599,4.625797394127164e-08,-39.09413446592399,-39.0009881794812,0.9089223118856055,0.0,"[-0.9089223118856055,-0.9063829310620566,-0.893274459551749,-0.8675081340061797,-0.8223138941426696,-0.7456033965607989,-0.625048084889225,-0.4693074646063108,-0.31623247306265045,-0.1961083638600658,-0.11361384375470651,-0.06101881229765101,-0.029145660549328073,-0.010756676951540792,-0.0008136606256958649,0.003999961439557261,0.005780750144997934,0.005786739596208042,0.004698726825051602,0.0027861464625357803]",double_integrator,20,5
cost_gated_certificate,True,,3,15,18,496,0,0,0.048770998952059184,4.6257973665558015e-08,-39.09413446592399,-39.0009881794812,0.9089223118856057,0.0,"[-0.9089223118856057,-0.9063829310620493,-0.8932744595517498,-0.8675081340061823,-0.8223138941426761,-0.7456033965607878,-0.625048084889222,-0.46930746460634387,-0.3162324730626375,-0.19610836386002067,-0.11361384375473921,-0.061018812297664045,-0.029145660549325433,-0.010756676951543049,-0.0008136606256911326,0.00399996143955027,0.005780750144996603,0.005786739596208826,0.0046987268250547115,0.00278614646253586]",double_integrator,20,5
interval_chebyshev,True,,3,15,18,496,0,0,0.048770998952059184,4.6257973665558015e-08,-39.09413446592399,-39.0009881794812,0.9089223118856057,0.0,"[-0.9089223118856057,-0.9063829310620493,-0.8932744595517498,-0.8675081340061823,-0.8223138941426761,-0.7456033965607878,-0.625048084889222,-0.46930746460634387,-0.3162324730626375,-0.19610836386002067,-0.11361384375473921,-0.061018812297664045,-0.029145660549325433,-0.010756676951543049,-0.0008136606256911326,0.00399996143955027,0.005780750144996603,0.005786739596208826,0.0046987268250547115,0.00278614646253586]",double_integrator,20,5
cg,True,,3,14,17,101,0,0,0.04892405176284884,4.701947607642769e-08,-39.09413427073037,-39.000988179467804,0.9089221481690258,0.0,"[-0.9089221481690258,-0.9063815668329347,-0.8932745912357531,-0.8675085713107817,-0.8223128127498662,-0.7455973195786044,-0.6250508326958216,-0.4693172443896103,-0.31622916814367885,-0.19612029424645122,-0.11360933127708682,-0.06100899078744019,-0.029143625268591634,-0.01075984160423636,-0.0008159851811880853,0.004000424081438901,0.005782500524734941,0.005788007831814084,0.004699464408753926,0.0027874654098703055]",double_integrator,20,5
direct,True,,3,16,19,0,0,0,0.0,1.7891022353219024e-07,-39.094134700458,-39.00098817946977,0.9089218921866851,0.0,"[-0.9089218921866851,-0.9063851887203168,-0.8932770031462697,-0.8675077435864553,-0.8223127705392679,-0.7456022665415313,-0.6250466283819563,-0.4693059838270499,-0.31623156991515833,-0.1961081748549066,-0.1136140933960002,-0.061019260779321204,-0.029146158713898737,-0.010757150362291554,-0.000814075904861865,0.003999617693792688,0.00578048222172776,0.005786546013813206,0.0046986022374167855,0.00278608580301698]",double_integrator,20,5
certificate,True,,3,17,20,498,2,2,0.045322419875759926,1.3719303640500674e-07,-7.515494397116008,-7.407790239376378,0.9491131438064474,0.0,"[0.9491131438064474,0.8486456251404533,-0.06723981457549748,-0.7348817684498706,-0.8238980216808626,-0.8384902034649208,-0.8264303424951212,-0.7928848531414655,-0.7334380390369309,-0.6417938039716293,-0.5205866012033046,-0.38947281616840096,-0.2725137788255415,-0.18150280584096043,-0.11624922322847199,-0.07165569648667484,-0.04211453980264949,-0.023023296372695765,-0.011016467297879187,-0.0038105604544018588]",double_integrator,20,6
