system,plant,horizon,state_index,barrier_stage,newton_iteration,barrier_weight,preconditioned_weyl_lower,preconditioned_weyl_upper,preconditioned_exact_lower,preconditioned_exact_upper,interval_chebyshev_degree,raw_gradient_norm,preconditioned_gradient_norm
1076,damped_oscillator,40,5,2,2,0.01,0.10145194457013805,23.6883669684038,0.11427028920546534,16.260263908578786,29,0.07576712641438392,0.09995015224723318
1077,damped_oscillator,40,5,2,3,0.01,0.10143845513928967,20.602698391803322,0.11427450011311507,15.635499191948675,27,0.012042602033856329,0.01586891916172829
1078,damped_oscillator,40,5,2,4,0.01,0.10143599963278865,20.056213733453546,0.1142739131815998,15.565036752679113,26,0.00051046288107719,0.0006720382245543633
1079,damped_oscillator,40,6,0,0,0.1,0.40399762277516404,19.562673914833486,0.40819005161034017,15.17064454158805,13,12.485199702158857,18.178786291988132
1080,damped_oscillator,40,6,0,1,0.1,0.45599328005030554,34.89582289012918,0.48114817615055133,23.092490265651634,17,1.196870039878407,1.6400358474983596
1081,damped_oscillator,40,6,0,2,0.1,0.4121571710506833,21.592644199226775,0.5125949581107143,16.378376698065114,14,0.4284978886963238,0.5865061261688886
1082,damped_oscillator,40,6,0,3,0.1,0.40456398794838694,19.562679406582046,0.5252139377740177,15.79098367944911,13,0.10646485411104176,0.1456250765920173
1083,damped_oscillator,40,6,0,4,0.1,0.40401381335678627,19.562679857557328,0.5311465854459917,15.705524575810475,13,0.012291814542921414,0.016814657567833735
1084,damped_oscillator,40,6,0,5,0.1,0.40400059033263297,19.562679911599265,0.5318481811201096,15.697921503953843,13,0.00031936707516892434,0.00043717779168315335
1085,damped_oscillator,40,6,1,0,0.03,0.16177444938249033,16.04399010350337,0.21196544791241193,14.872224916768031,19,0.5379621496410657,0.7473706167597799
1086,damped_oscillator,40,6,1,1,0.03,0.19978497978520388,17.643755773849886,0.2196666226607706,15.356050512022671,18,0.110594171829155,0.15024680396084744
1087,damped_oscillator,40,6,1,2,0.03,0.19977403951463757,16.532647998939527,0.21972066588188685,15.15931440819398,17,0.01686884637988266,0.02286651721267298
1088,damped_oscillator,40,6,1,3,0.03,0.19977086470581784,16.38619740984906,0.21973079781528723,15.134214992641162,17,0.0006982475473352502,0.000945597796261716
1089,damped_oscillator,40,6,2,0,0.01,0.10523241819580559,15.151289403578314,0.12440246993069569,14.726758561174366,23,0.24639463839845854,0.3393457793422954
1090,damped_oscillator,40,6,2,1,0.01,0.10485141856609997,40.650366389237774,0.12309650745870014,27.689881843329488,37,0.3773478890755191,0.4984472982403058
1091,damped_oscillator,40,6,2,2,0.01,0.10482854665426303,21.769291486865377,0.12311553550097486,15.58306160474276,27,0.1716992229133154,0.22615816704114713
1092,damped_oscillator,40,6,2,3,0.01,0.10482699167884986,16.76183792136312,0.12313579434903686,15.119141013162036,24,0.07426740759278981,0.09770148615814948
1093,damped_oscillator,40,6,2,4,0.01,0.10484230095111192,16.573109359643524,0.12317022628757317,15.041128861712293,24,0.026210538863038015,0.03447641698394728
1094,damped_oscillator,40,6,2,5,0.01,0.10485567473498417,16.52868555711369,0.12319761038496052,15.019393680618439,24,0.005290579150941293,0.006959029902879461
1095,damped_oscillator,40,6,2,6,0.01,0.10485962554534742,16.517715016447294,0.1232056895926406,15.014650866465473,24,0.000300784537589063,0.000395641909660447
1096,damped_oscillator,40,7,0,0,0.1,0.40399762277516404,19.562673914833486,0.40819005161034017,15.17064454158805,13,12.667711610229539,18.709663600638372
1097,damped_oscillator,40,7,0,1,0.1,0.41897348818325925,6935.265544241692,0.47690095313745445,6921.730658212561,238,20.347599075670544,26.891831742861957
1098,damped_oscillator,40,7,0,2,0.1,0.5010677730837063,1786.1667222885228,0.5700828911720273,1772.635039685086,111,9.750525578143916,12.82600171428188
1099,damped_oscillator,40,7,0,3,0.1,0.5274314170358464,476.32388366344077,0.5722474029819813,462.8047369494549,56,4.797467234154917,6.310407069149035
1100,damped_oscillator,40,7,0,4,0.1,0.5249447640113265,139.38806169507797,0.5724487106186165,125.91953221877546,31,2.3143306529319716,3.0441776216769783
1101,damped_oscillator,40,7,0,5,0.1,0.5171621128750568,50.84140243034342,0.5725533153115218,37.628095568219365,19,1.0705434839532184,1.408149911686317
1102,damped_oscillator,40,7,0,6,0.1,0.5053539713903373,26.70507920095693,0.5727151864061987,17.173154876869084,14,0.45088761858167603,0.5930794686868766
1103,damped_oscillator,40,7,0,7,0.1,0.4916669055782101,19.8159142080774,0.5729167787498944,16.254297522728063,12,0.15235203075823298,0.20039774618789286
1104,damped_oscillator,40,7,0,8,0.1,0.481904081021316,19.56267833565477,0.5730697562314808,16.156391543008038,12,0.03024979311482262,0.039789367397336566
1105,damped_oscillator,40,7,0,9,0.1,0.4789973712295032,19.56267829663355,0.5731153927604603,16.139723933876855,12,0.0017735719706457689,0.0023328860192447995
1106,damped_oscillator,40,7,1,0,0.03,0.1842161898027342,16.043989617895466,0.217427820892385,14.973833021344632,18,0.7589352098438267,1.0674692101984178
1107,damped_oscillator,40,7,1,1,0.03,0.18073025992626396,34706.93193907855,0.22582306970879557,34693.396176855225,809,24.18946758499176,31.818068463876052
1108,damped_oscillator,40,7,1,2,0.03,0.17038510486687927,8855.75689071377,0.22465906195320015,8842.221766702498,421,12.033808333094095,15.82878908978913
1109,damped_oscillator,40,7,1,3,0.03,0.17031022521080985,2299.560797039082,0.22468955054286185,2286.028143098464,215,5.946471689768193,7.821750083680067
1110,damped_oscillator,40,7,1,4,0.03,0.1700718783774035,621.7495544053875,0.22469393835894305,608.2262849705809,112,2.8961570938261914,3.809488747497802
