repeat,system,method,products,accepted_degree_two,total_ns
0,130,certificate,173,False,505000
3,132,interval_chebyshev,30,False,87083
4,48,certificate,24,False,93958
3,168,interval_chebyshev,12,False,38458
4,102,direct,0,False,7500
1,207,cost_gated_certificate,21,False,61792
0,80,cost_gated_certificate,24,False,93959
4,141,cg,3,False,16792
2,164,cost_gated_certificate,2,True,35042
0,145,certificate,14,False,64834
4,153,direct,0,False,10000
3,186,interval_chebyshev,37,False,106084
2,107,cost_gated_certificate,97,False,294625
4,67,certificate,30,False,108000
1,48,cost_gated_certificate,24,False,90625
3,186,direct,0,False,7250
4,132,direct,0,False,6625
0,138,direct,0,False,7041
1,188,certificate,38,False,131458
2,205,direct,0,False,7500
0,12,interval_chebyshev,23,False,66750
4,145,cost_gated_certificate,14,False,40625
2,45,certificate,24,False,93917
1,85,interval_chebyshev,976,False,2792125
0,32,cg,1,False,8375
0,160,certificate,98,False,296500
2,204,direct,0,False,10375
4,45,direct,0,False,6541
1,70,cost_gated_certificate,351,False,1001500
3,57,interval_chebyshev,92,False,262375
0,17,direct,0,False,7542
4,128,direct,0,False,6708
3,229,direct,0,False,6792
4,77,certificate,25,False,101125
2,120,cg,2,False,12875
4,59,interval_chebyshev,60,False,178416
2,96,certificate,136,False,404417
1,30,cost_gated_certificate,2,True,36542
2,175,certificate,31,False,115375
3,185,certificate,38,False,134958
0,57,direct,0,False,7084
0,229,interval_chebyshev,79,False,257375
0,105,direct,0,False,14042
3,42,interval_chebyshev,162,False,483125
0,43,certificate,79,False,268167
0,176,certificate,33,False,121417
3,46,cost_gated_certificate,24,False,106459
0,154,cost_gated_certificate,2,True,40084
1,140,cost_gated_certificate,20,False,59833
3,202,certificate,2,True,36792
4,49,interval_chebyshev,24,False,69834
3,222,certificate,2,True,36250
1,63,cg,10,False,42167
1,112,direct,0,False,11291
4,14,direct,0,False,7542
0,147,cost_gated_certificate,2,True,36708
0,41,certificate,365,False,1066292
0,140,direct,0,False,13792
3,108,interval_chebyshev,50,False,144458
0,158,certificate,73,False,237416
1,121,direct,0,False,8291
0,214,cg,1,False,8667
4,53,certificate,2,True,38459
4,210,interval_chebyshev,861,False,2483291
4,172,interval_chebyshev,19,False,56000
4,168,direct,0,False,17334
3,87,cg,2,False,14417
4,137,direct,0,False,12041
3,32,cg,1,False,7417
0,169,direct,0,False,7583
2,129,cost_gated_certificate,181,False,542667
1,63,certificate,153,False,458458
0,90,interval_chebyshev,71,False,205458
1,43,cost_gated_certificate,79,False,265208
0,104,cg,8,False,35833
0,208,cost_gated_certificate,31,False,121459
2,36,cg,5,False,25166
2,32,direct,0,False,7750
3,92,interval_chebyshev,62,False,177500
2,193,interval_chebyshev,54,False,156459
3,223,certificate,2,True,39250
0,61,cg,8,False,32041
1,156,certificate,2,True,37708
0,126,direct,0,False,7625
0,59,certificate,2,True,37209
0,2,cost_gated_certificate,467,False,1368500
4,159,cost_gated_certificate,110,False,341375
1,11,direct,0,False,8000
2,42,cost_gated_certificate,162,False,492500
0,200,cost_gated_certificate,2,True,38250
4,1,certificate,198,False,590958
1,208,direct,0,False,7750
0,170,cg,5,False,22791
0,105,cost_gated_certificate,380,False,1112167
3,23,interval_chebyshev,56,False,167750
4,97,cg,13,False,50250
2,64,certificate,132,False,408417
4,143,interval_chebyshev,14,False,42959
4,45,certificate,24,False,94417
2,228,cg,2,False,12042
4,37,interval_chebyshev,194,False,564042
2,102,direct,0,False,8375
1,219,cg,6,False,25625
2,73,cg,6,False,24792
3,29,interval_chebyshev,1199,False,3486458
2,139,cg,3,False,15166
1,82,cost_gated_certificate,26,False,126167
0,89,direct,0,False,10959
4,68,cg,5,False,24375
3,80,cg,8,False,33416
2,100,cost_gated_certificate,181,False,594042
0,20,interval_chebyshev,132,False,397958
4,1,direct,0,False,12333
0,146,cg,5,False,23583
2,100,interval_chebyshev,181,False,529458
