method,converged,failure,newton_updates,linear_systems,matrix_products,degree_two_acceptances,line_search_backtracks,maximum_preconditioned_relative_residual,maximum_original_relative_residual,final_scaled_gradient,quadratic_objective,maximum_control_fraction,feasibility_violation,solution_json,plant,horizon,state_index,relative_objective_gap_to_direct,relative_solution_distance_to_direct
certificate,True,,36,39,5672,12,0,0.04890968746724505,0.048513632204926584,3.8671510004624845e-07,-81.87745969013068,0.9960792670766982,0.0,"[-0.9960792670766982,-0.9953862535559009,-0.9944577257374795,-0.9931817565413368,-0.9913716429421743,-0.9886975959171481,-0.984533659702769,-0.9775731206604998,-0.9647030466523646,-0.936898456856528,-0.8582663058728797,-0.529196421932467,0.13606505905025856,0.4484685331345842,0.5314918426776096,0.527564570066961,0.4777328327647957,0.39601134572810875,0.28933126102543677,0.15924701877072162]",double_integrator,20,4,3.6065534582861493e-08,5.303047537265468e-06
cost_gated_certificate,True,,36,39,5690,11,0,0.04889551553948478,0.05040134714567278,3.8671510005523483e-07,-81.87745969013065,0.9960792670766982,0.0,"[-0.9960792670766982,-0.995386253555901,-0.9944577257374795,-0.9931817565413366,-0.9913716429421744,-0.9886975959171481,-0.9845336597027684,-0.9775731206604994,-0.9647030466523641,-0.9368984568565277,-0.858266305872881,-0.5291964219324727,0.13606505905025698,0.44846853313458895,0.5314918426776188,0.5275645700669622,0.4777328327647954,0.396011345728107,0.28933126102543666,0.15924701877072303]",double_integrator,20,4,3.6065534929986435e-08,5.303047538264771e-06
interval_chebyshev,True,,36,39,21042,0,0,0.048549037200823576,0.05040134714567278,9.03922720401518e-07,-81.87745947774934,0.99607930767292,0.0,"[-0.99607930767292,-0.9953862557219418,-0.9944577349892997,-0.9931817573424385,-0.9913716388980354,-0.9886976029356407,-0.9845336353332406,-0.9775730916172044,-0.964702973718387,-0.9368984517441014,-0.8582616548250116,-0.5291992442590168,0.13606321123655282,0.44846941907885274,0.5314892949530439,0.5275612497910057,0.4777273699082071,0.3960185360254934,0.2893410948535925,0.15924421802199146]",double_integrator,20,4,3.865942709674325e-08,3.726516209640778e-06
cg,True,,33,36,271,0,1,0.049236304970828586,0.10175609365445014,6.53793333404075e-08,-81.87745941936345,0.9960792314955997,0.0,"[-0.9960792314955997,-0.9953862530588583,-0.9944577221017905,-0.9931817639775369,-0.9913716475783636,-0.9886975942862559,-0.9845336583799911,-0.9775731115381148,-0.9647030177292898,-0.9368984325846579,-0.8582625948652375,-0.5291990781999594,0.136058756764461,0.44847241970625273,0.5314956367135186,0.5275609752650898,0.47772525086961287,0.3960174770075818,0.28933717936897313,0.1592473714030408]",double_integrator,20,4,3.937251579744978e-08,4.975592301955481e-06
direct,True,,30,33,0,0,1,0.0,0.0,1.1954527159445327e-06,-81.87746264308514,0.9960792403078287,0.0,"[-0.9960792403078287,-0.9953862605251756,-0.9944577364084249,-0.9931817934300348,-0.991371713548777,-0.9886977583451172,-0.9845341210240197,-0.9775745753009321,-0.9647075053522981,-0.9369048490658529,-0.8582602117966406,-0.5291926224529526,0.13607003777605037,0.44847203341659836,0.5314899129441699,0.5275610526696423,0.47772676312333884,0.3960178370404119,0.28934009413065154,0.15924369315335157]",double_integrator,20,4,0.0,0.0
certificate,True,,17,20,408,2,0,0.04749456845573102,0.04798940939678942,6.96741548999071e-07,-39.09413596412463,0.9089256439432704,0.0,"[-0.9089256439432704,-0.9063938275698765,-0.8932718154517658,-0.867520005401046,-0.82231943233099,-0.7455881696314036,-0.625036241724882,-0.4693057186316991,-0.31623004341465205,-0.19610212886043865,-0.11360894958077566,-0.0610273559278264,-0.0291365498567211,-0.01072127286827443,-0.0008232167786616789,0.003978256365230203,0.005725474249933139,0.00582250931943124,0.0046737060367645095,0.002803902875383908]",double_integrator,20,5,3.2323688147557916e-08,3.9045683290120566e-05
cost_gated_certificate,True,,17,20,408,2,0,0.04749456845573102,0.04798940939678942,6.96741548999071e-07,-39.09413596412463,0.9089256439432704,0.0,"[-0.9089256439432704,-0.9063938275698765,-0.8932718154517658,-0.867520005401046,-0.82231943233099,-0.7455881696314036,-0.625036241724882,-0.4693057186316991,-0.31623004341465205,-0.19610212886043865,-0.11360894958077566,-0.0610273559278264,-0.0291365498567211,-0.01072127286827443,-0.0008232167786616789,0.003978256365230203,0.005725474249933139,0.00582250931943124,0.0046737060367645095,0.002803902875383908]",double_integrator,20,5,3.2323688147557916e-08,3.9045683290120566e-05
interval_chebyshev,True,,17,20,536,0,0,0.04484848589868581,0.047989415196887826,6.967415488931732e-07,-39.094135964124646,0.9089256439432702,0.0,"[-0.9089256439432702,-0.9063938275698771,-0.8932718154517643,-0.8675200054010465,-0.8223194323309898,-0.7455881696314066,-0.6250362417248965,-0.4693057186316725,-0.31623004341466343,-0.19610212886043074,-0.11360894958077253,-0.061027355927837805,-0.02913654985671929,-0.01072127286827294,-0.000823216778657255,0.003978256365224516,0.0057254742499262615,0.005822509319435065,0.004673706036763906,0.0028039028753855545]",double_integrator,20,5,3.232368851106141e-08,3.9045683293483125e-05
cg,True,,14,17,112,0,0,0.049220993708610085,0.08060700943831799,3.045629587903505e-08,-39.09413433407565,0.908921968612833,0.0,"[-0.908921968612833,-0.90638109821382,-0.8932743427386933,-0.8675076639548824,-0.8223151403447454,-0.745604815098313,-0.625048787574177,-0.46930663173687626,-0.3162359932047044,-0.1961074965965911,-0.1136124182862258,-0.0610185438248097,-0.029147209519747166,-0.01075536197316371,-0.0008136746478281772,0.004001063195230383,0.005780600503915717,0.005786199003723123,0.004698243432322383,0.002786178062858821]",double_integrator,20,5,9.37179883967015e-09,3.700854809334626e-06
direct,True,,16,19,0,0,0,0.0,0.0,1.7891022368317916e-07,-39.094134700458014,0.9089218921866842,0.0,"[-0.9089218921866842,-0.906385188720319,-0.8932770031462689,-0.8675077435864542,-0.8223127705392764,-0.745602266541541,-0.625046628381938,-0.4693059838270323,-0.31623156991516377,-0.1961081748549144,-0.1136140933960162,-0.06101926077931593,-0.029146158713894792,-0.010757150362294202,-0.0008140759048491039,0.003999617693785483,0.005780482221730148,0.005786546013810464,0.004698602237418167,0.0027860858030168438]",double_integrator,20,5,0.0,0.0
