system,method,products,accepted_degree_two,preconditioned_relative_residual,original_relative_residual,original_residual_norm,original_gradient_norm
249,certificate,2,True,0.017932815153041768,0.01668168870647109,0.16022595817454538,9.60490037872432
249,cost_gated_certificate,2,True,0.017932815153041768,0.01668168870647109,0.16022595817454538,9.60490037872432
249,interval_chebyshev,343,False,0.045769470495344876,0.045767828924199554,0.43959543736743417,9.60490037872432
249,cg,1,False,0.031431589511112544,0.02511692396167249,0.24124555247185805,9.60490037872432
249,direct,0,False,0.0,1.8576937860627358e-16,1.7842963749307787e-15,9.60490037872432
250,certificate,2,True,0.009704092878891703,0.006668471805082852,0.028249677228279355,4.236304516838002
250,cost_gated_certificate,2,True,0.009704092878891703,0.006668471805082852,0.028249677228279355,4.236304516838002
250,interval_chebyshev,216,False,0.04682948303569072,0.046129449232029225,0.1954183941408947,4.236304516838002
250,cg,2,False,0.009805269873571214,0.006522458435033571,0.027631120129220844,4.236304516838002
250,direct,0,False,0.0,2.100693119524035e-16,8.899175750730183e-16,4.236304516838002
251,certificate,2,True,0.020525039339328296,0.010038643704024906,0.01629446209780677,1.6231736655095794
251,cost_gated_certificate,2,True,0.020525039339328296,0.010038643704024906,0.01629446209780677,1.6231736655095794
251,interval_chebyshev,163,False,0.04278205924348751,0.04276246174457664,0.06941090177615762,1.6231736655095794
251,cg,2,False,0.02067339294924536,0.009201745038562718,0.014936030223328433,1.6231736655095794
251,direct,0,False,0.0,1.3814468213342211e-16,2.242328100691625e-16,1.6231736655095794
252,certificate,2,True,0.03874096353623274,0.018953892122603535,0.008558840433267004,0.45156110301272245
252,cost_gated_certificate,2,True,0.03874096353623274,0.018953892122603535,0.008558840433267004,0.45156110301272245
252,interval_chebyshev,144,False,0.02681522207662564,0.023794780071116028,0.0107447971348583,0.45156110301272245
252,cg,2,False,0.03905552772742713,0.017298768942855734,0.007811451184598162,0.45156110301272245
252,direct,0,False,0.0,4.886746730390922e-17,2.2066647437191397e-17,0.45156110301272245
253,certificate,139,False,0.006327470365584089,0.004982668032090526,0.00029465754271072297,0.05913649892246515
253,cost_gated_certificate,139,False,0.006327470365584089,0.004982668032090526,0.00029465754271072297,0.05913649892246515
253,interval_chebyshev,139,False,0.006327470365584089,0.004982668032090526,0.00029465754271072297,0.05913649892246515
253,cg,3,False,0.018901738100685385,0.011791973296808766,0.0006973360161604693,0.05913649892246515
253,direct,0,False,0.0,8.199594564825244e-17,4.848953151474392e-18,0.05913649892246515
254,certificate,138,False,0.019911951104908246,0.018808446196858983,2.9084414251820876e-05,0.001546348589745706
254,cost_gated_certificate,138,False,0.019911951104908246,0.018808446196858983,2.9084414251820876e-05,0.001546348589745706
254,interval_chebyshev,138,False,0.019911951104908246,0.018808446196858983,2.9084414251820876e-05,0.001546348589745706
254,cg,3,False,0.019726995036373776,0.012306427791732646,1.903002726055314e-05,0.001546348589745706
254,direct,0,False,0.0,8.327414962252709e-17,1.2877086383106768e-19,0.001546348589745706
255,certificate,190,False,0.03642669236384719,0.015938790236587227,0.04132072016771623,2.5924627625040952
255,cost_gated_certificate,190,False,0.03642669236384719,0.015938790236587227,0.04132072016771623,2.5924627625040952
255,interval_chebyshev,190,False,0.03642669236384719,0.015938790236587227,0.04132072016771623,2.5924627625040952
255,cg,13,False,0.029038465646113162,0.012986927283965858,0.033668125383029934,2.5924627625040952
255,direct,0,False,0.0,1.0654923083754793e-15,2.7622491331979605e-15,2.5924627625040952
256,certificate,11319,False,0.039151326730594876,0.039132427082650995,6.888530568617371,176.03126312784568
256,cost_gated_certificate,11319,False,0.039151326730594876,0.039132427082650995,6.888530568617371,176.03126312784568
256,interval_chebyshev,11319,False,0.039151326730594876,0.039132427082650995,6.888530568617371,176.03126312784568
256,cg,3,False,0.02291016760898787,0.02046714188818291,3.602856839193678,176.03126312784568
256,direct,0,False,0.0,4.645813492474905e-17,8.178084173367457e-15,176.03126312784568
257,certificate,5900,False,0.013495119106120333,0.013329712727603986,1.1666593865696004,87.52322052324584
257,cost_gated_certificate,5900,False,0.013495119106120333,0.013329712727603986,1.1666593865696004,87.52322052324584
257,interval_chebyshev,5900,False,0.013495119106120333,0.013329712727603986,1.1666593865696004,87.52322052324584
257,cg,3,False,0.01904155582175259,0.016891469706562686,1.4783958280892127,87.52322052324584
257,direct,0,False,0.0,3.2579226287442435e-16,2.851438806832552e-14,87.52322052324584
258,certificate,2,True,0.045083915280811834,0.04153549541783127,1.7927323329244556,43.16145299075528
258,cost_gated_certificate,2,True,0.045083915280811834,0.04153549541783127,1.7927323329244556,43.16145299075528
258,interval_chebyshev,3055,False,0.011904617140373292,0.011704408767414598,0.5051792887993491,43.16145299075528
258,cg,2,False,0.04687868252051388,0.04339127029448452,1.8728302730245499,43.16145299075528
258,direct,0,False,0.0,4.939904380675942e-16,2.1321345070537072e-14,43.16145299075528
