actual_squared_residual,actual_to_chebyshev_actual,atomic_pattern,certificate,certificate_to_actual,certificate_to_chebyshev_bound,chebyshev_interval_bound,coverage_slack,covered,degree,design_value,family,name,raw_certificate_excess,scaled_certificate_excess,solver,source
0.0,0.0,True,3.413447302591521e-11,3.4134473025915214e+289,2.2902129259568233e-10,0.14904497585810386,6.836813852828962e-11,True,8,nan,two_point,two_point_k100_3,-3.413447302591521e-11,-0.49927457088495875,analytic,heldout_synthetic
8.077935669463161e-28,8.207960583389154e-28,True,3.5415723687037826e-09,4.384254237245178e+18,3.59857859668653e-09,0.9841586819764789,7.077161939158865e-09,True,2,nan,two_point,two_point_k1000_0,-3.5415723687037826e-09,-0.5004226834358273,analytic,heldout_synthetic
8.077935669463161e-28,8.372446526212584e-28,True,3.5415723687037826e-09,4.384254237245178e+18,3.6706934158656163e-09,0.9648237996113374,7.077161939158865e-09,True,3,nan,two_point,two_point_k1000_0,-3.5415723687037826e-09,-0.5004226834358273,analytic,heldout_synthetic
8.077935669463161e-28,8.606407007702486e-28,True,3.5415723687037826e-09,4.384254237245178e+18,3.773267639097623e-09,0.9385955907306776,7.077161939158865e-09,True,4,nan,two_point,two_point_k1000_0,-3.5415723687037826e-09,-0.5004226834358273,analytic,heldout_synthetic
8.077935669463161e-28,9.298929002621218e-28,True,3.5415723687037826e-09,4.384254237245178e+18,4.0768868881584134e-09,0.8686952730993133,7.077161939158865e-09,True,6,nan,two_point,two_point_k1000_0,-3.5415723687037826e-09,-0.5004226834358273,analytic,heldout_synthetic
8.077935669463161e-28,1.0330114748326822e-27,True,3.5415723687037826e-09,4.384254237245178e+18,4.528984935658081e-09,0.781979277700816,7.077161939158865e-09,True,8,nan,two_point,two_point_k1000_0,-3.5415723687037826e-09,-0.5004226834358273,analytic,heldout_synthetic
8.07793566946316e-28,8.207960583389155e-28,True,3.537934389896691e-09,4.379750637617808e+18,3.594882059864048e-09,0.9841586819764789,7.077161939158864e-09,True,2,nan,two_point,two_point_k1000_1,-3.537934389896691e-09,-0.4999086385632688,analytic,heldout_synthetic
8.07793566946316e-28,8.372446526212579e-28,True,3.537934389896691e-09,4.379750637617808e+18,3.666922801160053e-09,0.9648237996113374,7.077161939158864e-09,True,3,nan,two_point,two_point_k1000_1,-3.537934389896691e-09,-0.4999086385632688,analytic,heldout_synthetic
8.07793566946316e-28,8.606407007702484e-28,True,3.537934389896691e-09,4.379750637617808e+18,3.769391657958334e-09,0.9385955907306776,7.077161939158864e-09,True,4,nan,two_point,two_point_k1000_1,-3.537934389896691e-09,-0.4999086385632688,analytic,heldout_synthetic
8.07793566946316e-28,9.298929002621218e-28,True,3.537934389896691e-09,4.379750637617808e+18,4.072699022839298e-09,0.8686952730993133,7.077161939158864e-09,True,6,nan,two_point,two_point_k1000_1,-3.537934389896691e-09,-0.4999086385632688,analytic,heldout_synthetic
8.07793566946316e-28,1.033011474832682e-27,True,3.537934389896691e-09,4.379750637617808e+18,4.524332665564955e-09,0.781979277700816,7.077161939158864e-09,True,8,nan,two_point,two_point_k1000_1,-3.537934389896691e-09,-0.4999086385632688,analytic,heldout_synthetic
8.077935669463163e-28,8.207960583389154e-28,True,3.5261109587736428e-09,4.365113938828852e+18,3.5828683151909804e-09,0.9841586819764789,7.077161939158863e-09,True,2,nan,two_point,two_point_k1000_2,-3.5261109587736428e-09,-0.4982379927274533,analytic,heldout_synthetic
8.077935669463163e-28,8.372446526212582e-28,True,3.5261109587736428e-09,4.365113938828852e+18,3.6546683033669734e-09,0.9648237996113374,7.077161939158863e-09,True,3,nan,two_point,two_point_k1000_2,-3.5261109587736428e-09,-0.4982379927274533,analytic,heldout_synthetic
8.077935669463163e-28,8.606407007702488e-28,True,3.5261109587736428e-09,4.365113938828852e+18,3.7567947192556455e-09,0.9385955907306776,7.077161939158863e-09,True,4,nan,two_point,two_point_k1000_2,-3.5261109587736428e-09,-0.4982379927274533,analytic,heldout_synthetic
8.077935669463163e-28,9.298929002621218e-28,True,3.5261109587736428e-09,4.365113938828852e+18,4.059088460552175e-09,0.8686952730993133,7.077161939158863e-09,True,6,nan,two_point,two_point_k1000_2,-3.5261109587736428e-09,-0.4982379927274533,analytic,heldout_synthetic
8.077935669463163e-28,1.0330114748326822e-27,True,3.5261109587736428e-09,4.365113938828852e+18,4.5092127877622955e-09,0.781979277700816,7.077161939158863e-09,True,8,nan,two_point,two_point_k1000_2,-3.5261109587736428e-09,-0.4982379927274533,analytic,heldout_synthetic
8.077935669463163e-28,8.207960583389154e-28,True,3.5397533793002367e-09,4.3820024374314916e+18,3.596730328275289e-09,0.9841586819764789,7.077161939158864e-09,True,2,nan,two_point,two_point_k1000_3,-3.5397533793002367e-09,-0.5001656609995481,analytic,heldout_synthetic
8.077935669463163e-28,8.372446526212579e-28,True,3.5397533793002367e-09,4.3820024374314916e+18,3.6688081085128346e-09,0.9648237996113374,7.077161939158864e-09,True,3,nan,two_point,two_point_k1000_3,-3.5397533793002367e-09,-0.5001656609995481,analytic,heldout_synthetic
8.077935669463163e-28,8.606407007702488e-28,True,3.5397533793002367e-09,4.3820024374314916e+18,3.771329648527979e-09,0.9385955907306776,7.077161939158864e-09,True,4,nan,two_point,two_point_k1000_3,-3.5397533793002367e-09,-0.5001656609995481,analytic,heldout_synthetic
8.077935669463163e-28,9.298929002621218e-28,True,3.5397533793002367e-09,4.3820024374314916e+18,4.074792955498856e-09,0.8686952730993133,7.077161939158864e-09,True,6,nan,two_point,two_point_k1000_3,-3.5397533793002367e-09,-0.5001656609995481,analytic,heldout_synthetic
8.077935669463163e-28,1.0330114748326824e-27,True,3.5397533793002367e-09,4.3820024374314916e+18,4.5266588006115175e-09,0.781979277700816,7.077161939158864e-09,True,8,nan,two_point,two_point_k1000_3,-3.5397533793002367e-09,-0.5001656609995481,analytic,heldout_synthetic
0.00678805231379062,0.028758142855030207,False,0.006788052313829049,1.0000000000056612,0.026818031401731883,0.2531152347517455,1.5521580280615466e-13,True,2,0.006788052313790635,three_point,three_point_k10_0,-3.842846180157622e-14,-0.24758085908023564,linear algebra,heldout_synthetic
7.325368053880756e-32,9.690928794278842e-31,True,4.605205106145149e-13,6.286653547333301e+18,6.0899450833059595e-12,0.07561981336694072,8.495816745776131e-13,True,3,nan,three_point,three_point_k10_0,-4.605205106145149e-13,-0.5420556073593185,analytic,heldout_synthetic
7.325368053880756e-32,3.7007090319744745e-30,True,4.605205106145149e-13,6.286653547333301e+18,2.1935165767164327e-11,0.020994621855280778,8.495816745776131e-13,True,4,nan,three_point,three_point_k10_0,-4.605205106145149e-13,-0.5420556073593185,analytic,heldout_synthetic
7.325368053880756e-32,4.7514203336962996e-29,True,4.605205106145149e-13,6.286653547333301e+18,2.982356311353917e-10,0.001544149868549576,8.495816745776131e-13,True,6,nan,three_point,three_point_k10_0,-4.605205106145149e-13,-0.5420556073593185,analytic,heldout_synthetic
7.325368053880756e-32,7.043879099343763e-28,True,4.605205106145149e-13,6.286653547333301e+18,4.091916971515622e-09,0.00011254395282706354,8.495816745776131e-13,True,8,nan,three_point,three_point_k10_0,-4.605205106145149e-13,-0.5420556073593185,analytic,heldout_synthetic
