actual_relative_residual,bb1_converged,bb1_final_residual,bb1_products,bb1_reductions,bb2_converged,bb2_final_residual,bb2_products,bb2_reductions,certificate_passed,certified_squared_residual,cg_converged,cg_final_residual,cg_products,cg_reductions,chebyshev_budget,collective_reductions,condition,converged,coverage_slack,covered,design_seconds,dimension,family,hessian_product_saving,hessian_products,minres_converged,minres_final_residual,minres_products,minres_reductions,name,point_residual_relative_discrepancy,raw_certificate_excess,scaled_certificate_excess,selected_degree,source,spectral_recurrence_squared_discrepancy,tolerance
1.1508715668451463e-13,True,0.006286153913574841,7,7,True,0.009951112787173042,7,7,True,1.5445493772858754e-09,True,2.516432338389862e-13,3,6,27,1,100.0,True,2.250430964802383e-09,True,0.0024672909639775753,384,three_point,0.8888888888888888,3,True,2.9985060636078275e-13,3,6,three_point_k100_0,1.5054411203307918e-14,-1.5445493772858754e-09,-0.6863349293727421,3,heldout_synthetic,2.4950089348014446e-28,0.01
1.1508715668451463e-13,True,7.024761308291867e-06,16,16,True,1.6562920440536467e-05,10,10,True,1.5445493772858754e-09,True,2.516432338389862e-13,3,6,50,1,100.0,True,2.250430964802383e-09,True,0.0024672909639775753,384,three_point,0.94,3,True,2.9985060636078275e-13,3,6,three_point_k100_0,1.5054411203307918e-14,-1.5445493772858754e-09,-0.6863349293727421,3,heldout_synthetic,2.4950089348014446e-28,0.0001
8.672290045604055e-07,True,1.8316791813154882e-09,18,18,True,3.368937060892155e-10,15,15,False,1e-12,True,2.516432338389862e-13,3,6,73,1,100.0,True,1.136868377219011e-13,True,0.0024672909639775753,384,three_point,0.0,73,True,2.9985060636078275e-13,3,6,three_point_k100_0,2.6495631300247026e-15,-2.4791385364916826e-13,-2.180673318186676,73,heldout_synthetic,1.0804238957906978e-26,1e-06
2.6584879536766018e-14,True,0.0014949676904423871,17,17,True,0.002471109923945032,25,25,True,1.2942109606228769e-09,True,5.3121509114289384e-14,3,6,27,1,100.0,True,2.250430964801421e-09,True,0.00248887506313622,384,three_point,0.8888888888888888,3,True,3.41107444637965e-14,3,6,three_point_k100_1,8.276594165507661e-15,-1.2942109606228769e-09,-0.5750947177964549,3,heldout_synthetic,3.544882295693444e-28,0.01
2.6584879536766018e-14,True,3.0632471832927384e-09,22,22,True,6.39218325681292e-06,31,31,True,1.2942109606228769e-09,True,5.3121509114289384e-14,3,6,50,1,100.0,True,2.250430964801421e-09,True,0.00248887506313622,384,three_point,0.94,3,True,3.41107444637965e-14,3,6,three_point_k100_1,8.276594165507661e-15,-1.2942109606228769e-09,-0.5750947177964549,3,heldout_synthetic,3.544882295693444e-28,0.0001
8.229458081066832e-07,True,3.0632471832927384e-09,22,22,True,5.860683059286969e-07,33,33,False,1e-12,True,5.3121509114289384e-14,3,6,73,1,100.0,True,1.136868377218926e-13,True,0.00248887506313622,384,three_point,0.0,73,True,3.41107444637965e-14,3,6,three_point_k100_1,3.8451965532997295e-15,-3.227601969196382e-13,-2.839028715964403,73,heldout_synthetic,9.794496999224083e-27,1e-06
3.315180545700783e-14,True,0.003981986390144955,7,7,True,0.009290747616206838,5,5,True,1.2898908607894555e-09,True,1.1547761837579492e-13,3,6,27,1,100.0,True,2.250430964801436e-09,True,0.0024213341530412436,384,three_point,0.8888888888888888,3,True,2.383221727970248e-13,3,6,three_point_k100_2,1.3705392141131732e-14,-1.2898908607894555e-09,-0.5731750411207426,3,heldout_synthetic,1.0043723137935373e-28,0.01
3.315180545700783e-14,True,1.4145368623628461e-06,14,14,True,1.6419222554170774e-05,10,10,True,1.2898908607894555e-09,True,1.1547761837579492e-13,3,6,50,1,100.0,True,2.250430964801436e-09,True,0.0024213341530412436,384,three_point,0.94,3,True,2.383221727970248e-13,3,6,three_point_k100_2,1.3705392141131732e-14,-1.2898908607894555e-09,-0.5731750411207426,3,heldout_synthetic,1.0043723137935373e-28,0.0001
8.676556445168141e-07,True,2.38657743228005e-07,16,16,True,4.0365353654790745e-07,16,16,False,1e-12,True,1.1547761837579492e-13,3,6,73,1,100.0,True,1.1368683772190118e-13,True,0.0024213341530412436,384,three_point,0.0,73,True,2.383221727970248e-13,3,6,three_point_k100_2,3.09811975663217e-15,-2.471736825381119e-13,-2.174162704241488,73,heldout_synthetic,1.2621774483536189e-26,1e-06
2.2410359387530653e-14,True,0.0017224131991328562,17,17,True,0.0010990594097404693,27,27,True,1.5720615920145065e-09,True,4.578484906034342e-14,3,6,27,1,100.0,True,2.250430964801632e-09,True,0.0022705839946866035,384,three_point,0.8888888888888888,3,True,3.080956237744834e-14,3,6,three_point_k100_3,7.468756545916837e-15,-1.5720615920145065e-09,-0.6985602387287977,3,heldout_synthetic,1.7452740781340345e-28,0.01
2.2410359387530653e-14,True,2.5795700517091487e-05,20,20,True,4.525822532299109e-06,32,32,True,1.5720615920145065e-09,True,4.578484906034342e-14,3,6,50,1,100.0,True,2.250430964801632e-09,True,0.0022705839946866035,384,three_point,0.94,3,True,3.080956237744834e-14,3,6,three_point_k100_3,7.468756545916837e-15,-1.5720615920145065e-09,-0.6985602387287977,3,heldout_synthetic,1.7452740781340345e-28,0.0001
8.13360865374261e-07,True,4.230329679860832e-09,22,22,True,2.195886326466308e-08,34,34,False,1e-12,True,4.578484906034342e-14,3,6,73,1,100.0,True,1.136868377218908e-13,True,0.0022705839946866035,384,three_point,0.0,73,True,3.080956237744834e-14,3,6,three_point_k100_3,3.660165346370996e-15,-3.384441026776333e-13,-2.976985809962983,73,heldout_synthetic,9.491574411619214e-27,1e-06
0.0011289934929551602,True,0.001314175856676325,3,3,True,0.001108325410626928,4,4,True,1.274627987157828e-06,True,0.001129878144143993,2,4,84,1,1000.0,True,6.730967793480003e-12,True,0.002297542057931423,384,three_point,0.9761904761904762,2,True,0.001128993492955161,2,4,three_point_k1000_0,1.564341829555088e-15,-1.6800227347410214e-12,-0.24959601446442614,2,heldout_synthetic,1.2705494208814505e-21,0.01
